Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19968,12,20,0
2,19956,22,20,2
3,19941,31,26,2
4,19931,31,32,6
5,19912,44,33,11
6,19889,55,40,16
7,19862,63,55,20
8,19820,87,70,23
9,19776,115,77,32
10,19725,137,99,39
11,19666,159,125,50
12,19573,215,147,65
13,19459,269,192,80
14,19336,317,254,93
15,19166,406,301,127
16,18969,489,376,166
17,18714,608,469,209
18,18428,711,587,274
19,18069,846,749,336
20,17641,1037,907,415
21,17090,1289,1088,533
22,16444,1559,1324,673
23,15660,1911,1567,862
24,14830,2203,1898,1069
25,13880,2506,2309,1305
26,12826,2828,2719,1627
27,11668,3176,3175,1981
28,10480,3495,3636,2389
29,9228,3790,4123,2859
30,7970,4026,4614,3390
31,6827,4041,5098,4034
32,5721,4000,5628,4651
33,4694,3909,6039,5358
34,3800,3664,6354,6182
35,2996,3476,6530,6998
36,2425,3030,6672,7873
37,1926,2719,6605,8750
38,1554,2330,6510,9606
39,1260,1965,6353,10422
40,1044,1685,6047,11224
41,869,1390,5738,12003
42,755,1138,5378,12729
43,666,938,4988,13408
44,592,789,4598,14021
45,572,641,4188,14599
46,552,562,3784,15102
47,520,469,3402,15609
48,522,376,3071,16031
49,526,334,2757,16383
50,523,281,2515,16681
51,532,257,2254,16957
52,550,209,2028,17213
53,589,171,1821,17419
54,620,149,1636,17595
55,646,131,1445,17778
56,683,126,1295,17896
57,716,123,1149,18012
58,749,123,1020,18108
59,789,117,922,18172
60,818,111,832,18239
61,869,97,748,18286
62,907,96,664,18333
63,952,91,598,18359
64,981,86,556,18377
65,1029,79,512,18380
66,1077,68,453,18402
67,1127,70,410,18393
68,1187,71,365,18377
69,1248,66,331,18355
70,1303,58,294,18345
71,1367,53,271,18309
72,1421,39,248,18292
73,1479,35,225,18261
74,1548,32,205,18215
75,1599,27,188,18186
76,1658,26,163,18153
77,1712,28,147,18113
78,1763,29,124,18084
79,1823,25,110,18042
80,1870,23,107,18000
81,1932,26,96,17946
82,1990,26,88,17896
83,2049,22,85,17844
84,2100,21,76,17803
85,2147,23,65,17765
86,2207,19,66,17708
87,2257,12,66,17665
88,2312,12,59,17617
89,2362,13,53,17572
90,2410,15,52,17523
91,2457,15,40,17488
92,2513,15,34,17438
93,2565,14,37,17384
94,2620,11,37,17332
95,2663,13,31,17293
96,2709,11,32,17248
97,2774,9,31,17186
98,2828,7,28,17137
99,2883,3,27,17087
100,2938,4,18,17040
101,2985,5,17,16993
102,3041,6,19,16934
103,3087,6,17,16890
104,3134,3,17,16846
105,3170,3,14,16813
106,3221,2,15,16762
107,3271,2,13,16714
108,3320,3,12,16665
109,3366,2,12,16620
110,3432,1,13,16554
111,3488,2,10,16500
112,3542,3,9,16446
113,3589,4,7,16400
114,3641,7,7,16345
115,3700,6,9,16285
116,3736,5,6,16253
